location,site,year1stTag,tag,plot,dah2011.cm,height2011.cm,basal_stems2011,fruit2011,comments2011,fruit.jul.2012,notes.jul.2012,dah.2012,hgt.2012,basal.stems.2012,frt.2012,frt.err.2012,notes.2012,dah.max.2012,mortality.2012
long_island,sbu_sib,2011,2180,4,0.84,79,1,0,,,,NA,NA,NA,NA,,Not Found,,
long_island,sbu_sib,2011,2181,4,4.08,325,2,0,odd knotted stem,,,4.25,324,2,0,,,,
long_island,sbu_sib,2011,2182,4,2.91,315,1,0,odd knotted stem,,,3.1,229,1,0,,,,
long_island,sbu_sib,2011,2183,4,1.58,177,2,0,,,,1.75,187,2,0,,,,
long_island,sbu_sib,2011,2184,4,3.24,346,2,0,,,,3.25,355,2,0,,,,
long_island,sbu_sib,2011,2185,4,0.64,70,1,0,,,,NA,NA,NA,NA,,Tag recovered,,1
long_island,sbu_sib,2011,2186,5,3.95,364,1,0,,,,4.15,360,1,0,,,,
long_island,sbu_sib,2011,2187,5,1.68,146,1,0,,,,1.76,143,1,0,,,,
long_island,sbu_sib,2011,2188,5,0.63,113,1,0,,,,0.63,119,1,0,,,,
long_island,sbu_sib,2011,2189,5,0.71,140,1,0,,,,0.73,142,1,0,,,,
long_island,sbu_sib,2011,2190,5,1.25,162,1,0,,,,1.25,159,1,0,,,,
long_island,sbu_sib,2011,2191,5,0.9,104,2,0,,,,0.91,113,2,0,,,,
long_island,sbu_sib,2011,2192,5,0.72,120,1,0,,,,0.85,123,1,0,,,,
long_island,sbu_sib,2011,2193,6,3.24,380,1,0,,,,3.04,375,1,0,,,3.25,
long_island,sbu_sib,2011,2194,6,1.2,143,1,0,,,,1.25,146,1,0,,,,
long_island,sbu_sib,2011,2195,7,6.57,451,4,0,,,,6.54,451,7,0,,,6.67,
long_island,sbu_sib,2011,2196,8,1.49,244,7,0,large dead stem dah=2.96,,,1.51,245,5,0,,,,
long_island,sbu_sib,2011,2197,8,2.12,377,3,0,large dead stem dah=3.39,,,2.05,346,1,0,,,,
long_island,sbu_sib,2011,2198,9,2.24,248,1,0,,,,2.31,247,1,0,,,2.43,
long_island,sbu_sib,2011,2199,10,1.28,168,1,0,,,,1.35,177,1,0,,,,
long_island,sbu_sib,2011,2200,11,1.72,228,3,0,two large dead stems also,,,1.7,245,5,0,,,,
long_island,sbu_sib,2011,2201,12,1.38,207,2,0,one large dead stem also,,,1.35,212,3,0,,,,
long_island,sbu_sib,2011,2202,12,0.95,155,1,0,one large dead stem also,,,NA,NA,NA,NA,,Not found,,
long_island,sbu_sib,2011,2203,13,2.45,272,5,0,,,,2.42,279,6,0,,,,
long_island,sbu_sib,2011,2204,14,3.11,291,1,0,,,,3.28,292,1,0,,,,
long_island,sbu_sib,2011,2205,15,0.58,17,1,0,height to green leaf; one large dead stem also,,,0.58,32,1,0,,Height to leaf,,
long_island,sbu_sib,2011,2206,16,3.23,384,2,0,,,,3.05,390,2,0,,,3.5,
long_island,sbu_sib,2011,2207,17,2.41,251,1,0,dah taken below turn in stem,,,2.46,252,1,0,,,,
long_island,sbu_sib,2011,2208,18,3.75,298,1,0,,,,3.9,316,1,0,,,,
long_island,sbu_sib,2011,2209,18,1.51,157,2,0,completely laying down,,,NA,NA,NA,NA,,Not found,,
long_island,sbu_sib,2011,2210,19,2.17,95,3,0,289cm to top of tree,,,2.16,131,1,0,,Appears dead; No buds observed,,
long_island,sbu_sib,2011,2211,20,0.53,83,3,0,"attached to likely dead plant, with dah=1.57 and height = 156",,,0.55,78,3,0,,,,
long_island,sbu_sib,2011,2212,20,0.64,114,3,0,one large dead stem also,,,0.67,114,3,0,,Might be dead,,
long_island,sbu_southp,2011,2047,1,0.5,96,2,0,,,,0.51,97,2,0,,,,
